Model,Accuracy,Precision,Recall,F1-Score
CNN,0.978,0.9780344155844157,0.978,0.9779937233965804
BiLSTM,0.973,0.9732297454010146,0.973,0.9729837815133283
Parallel CNN-BiLSTM,0.971,0.971195235175445,0.971,0.9709915880908662
Parallel CNN-BiLSTM,0.971,0.971195235175445,0.971,0.9709915880908662
CNN-BiLSTM,0.969,0.9690691139727289,0.969,0.9690155415806228
GRU,0.969,0.96931065950844,0.969,0.9690038076695707
LSTM,0.969,0.9692059292059788,0.969,0.9689689086449529
Attention-BiLSTM,0.961,0.9612767969668408,0.961,0.9610493590778819
RNN,0.943,0.942851027396428,0.943,0.9428956390436259
