Model,Accuracy,Precision,Recall,F1-Score
CNN,0.8790820829655781,0.8800545433701648,0.8790820829655781,0.8782548370400499
GRU,0.8773168578993822,0.8789478687999557,0.8773168578993822,0.8762784643640521
Attention-BiLSTM,0.8755516328331863,0.8784832332542704,0.8755516328331863,0.8741689906497649
BiLSTM,0.8623124448367167,0.8626558710565223,0.8623124448367167,0.8624407414303337
Parallel CNN-GRU,0.8578993821712269,0.8602608609268676,0.8578993821712269,0.8583502765855605
CNN-BiLSTM,0.852603706972639,0.8523386384898956,0.852603706972639,0.8523894417387283
RNN,0.852603706972639,0.8793891837647656,0.852603706972639,0.8463941459291732
LSTM,0.8367166813768756,0.8721251554909573,0.8367166813768756,0.8280803398729016
